1,Everybody Loves Jenifa,2024,"₦1,882,553,548",Funke Ayotunde Akindele Network,"Funke Akindele, Tunde Olaoye"
2,A Tribe Called Judah,2023,"₦1,404,187,806",Funke Ayotunde Akindele Network,"Funke Akindele, Adeoluwa Owu"
3,Battle on Buka Street,2022,"₦668,423,056",Funke Ayotunde Akindele Network / FilmOne Studios,"Funke Akindele, Tobi Makinde"
4,Omo Ghetto: The Saga,2020,"₦636,129,120",SceneOne Productions,"Funke Akindele, JJC Skillz"
5,Alakada: Bad and Boujee,2024,"₦500,000,000",Toyin Abraham Film Productions / FilmOne Studios,Adebayo Tijani
6,The Wedding Party,2016,"[1]₦452,288,605",Ebonylife Films / FilmOne / Inkblot Production / Koga Studios,Kemi Adetiba
7,The Wedding Party 2,2017,"[2]₦433,197,377",Ebonylife Films / FilmOne / Inkblot Production / Koga Studios,Niyi Akinmolayan
8,Chief Daddy,2018,"₦387,540,750",EbonyLife Films,Niyi Akinmolayan
9,Queen Lateefah,2024,"₦365,517,443",Wumi Toriola TV / COTS Productions,Adeoluwa Owu
10,Reel Love,2025,"₦355,000,000",FilmTrybe/Filmone Studios,Kayode Kasum
11,The Waiter,2024,"₦351,300,000",Corporate World Pictures/AY Makun Films,Toka Mcbaror
12,Brotherhood,2022,"₦328,881,120[3]",Greoh Studios,Loukman Ali
13,King of Thieves,2022,"₦320,805,150[4]",Euphoria360 Media / Anthill Studios,"Tope Adebayo, Adebayo Tijani"
14,Malaika,2023,"₦302,086,925",Toyin Abraham Films Production,Steve Sodiya
15,Sugar Rush,2019,"₦287,053,270  [5]",GreoH Media / Jungle Filmworks / Empire Mates Entertainment,Kayode Kasum
16,Ijakumo,2022,"₦278,496,384[6]",Toyin Abraham Films Production / Filmone,"Adebayo Tijani, Steve Sodiya"
17,Christmas in Miami,2021,"₦265,583,000[7]",Corporate World Pictures/AY Makun Films,Robert Peters
18,Àjosepò,2024,"₦257,254,189",FilmTrybe,Kayode Kasum
19,Labake Olododo,2025,"₦253,900,000",Fespris Productions/ FilmOne Studios,Biodun Stephen
20,Beast of Two Worlds: Ajakaju,2024,"₦252,801,675",Lighthouse Pictures / Anthill Studios,"Adebayo Tijani, Odunlade Adekola"
21,King of Boys,2018,"₦244,775,758[8]",Kemi Adetiba Visuals,Kemi Adetiba
22,Merry Men: The Real Yoruba Demons,2018,"₦235,628,358[6]",Corporate World Entertainment / FilmOne / Gush Media,Toka Mcbaror[9]
23,Merry Men 2: Another Mission,2019,"₦234,505,169[10]",Corporate World Entertainment / Gush Media / FilmOne,Moses Inwang
24,Ada Omo Daddy,2023,"₦218,754,222",Mercy Aigbe Productions / COTS Productions / Adekaz Productions,"Adebayo Tijani,Akay Mason"
25,Lakatabu,2024,"₦202,253,250",OdunladeAdekolaFilmProduction / FilmOne Studios,Odunlade Adekola
26,Your Excellency,2019,"₦186,340,948   [11]",EbonyLife Films,Funke Akindele
27,A Trip to Jamaica,2016,"₦180,264,964[12]",Corporate World Pictures/AY Makun Films,Robert Peters
28,Prophetess,2021,"₦178,744,340[13]",Anthill Studios,Niyi Akinmolayan
29,10 Days in Sun City,2017,"₦176,705,669[6]",Corporate World Pictures/AY Makun Films,Adze Ugha
30,Living in Bondage: Breaking Free,2019,"₦168,770,202[5]",Play Entertainment Network/Michelangelo Productions/Natives Filmworks,Ramsey Nouah
31,The Farmer's Bride,2024,"₦164,143,345",FilmOne Studios,"Adebayo Tijani, Jack'enneth Opukeme"
32,30 Days in Atlanta,2014,"₦163,351,300[12]",Corporate World Pictures/AY Makun Films,Robert Peters
33,Owambe Thieves,2025,"₦160,500,000",Lighthouse Pictures/FilmOne Studios/ Anthill Studios,Adeoluwa Owu
34,Funmilayo Ransome-Kuti,2024,"₦157,096,847",Bolanle Austen-Peters Production,Bolanle Austen-Peters
35,Aki & Pawpaw,2021,"₦136,379,049[14]",Play network studios and Film One,Biodun Stephen
36,Thin Line,2024,"₦136,067,751",Mercy Aigbe Productions/ COTS Productions/ Adekaz Productions,Akhigbe Ilozobhie
37,Muri And Ko,2024,"₦136,021,936",Inkblot Productions / Shutter Speed,Biodun Stephen
38,The Ghost and the Tout Too,2021,"₦134,408,075[15]",Toyin Abraham Films Production,Ama Psalmist
39,All's Fair In Love,2024,"₦132,020,689.93[16]",Covenant Entertainment / FilmOne Studio / Accelerate TV,Kayode Kasum
40,Orisa,2023,"₦127,898,950",Odunlade Adekola Film Production / FilmOne Studio,Odunlade Adekola
41,The Uprising: Wives on Strike 3,2024,"₦120,694,293",Dioni Visions,Omoni Oboli
42,Bling Lagosians,2019,"₦120,135,139[17]",Film One,Bolanle Austen-Peters
43,Merry Men 3,2023,"₦118,836,230",Corporate World Entertainment/AY Makun Films/FilmOne,Moses Inwang
44,Fate of Alakada: The Party Planner,2020,"₦113,226,100[18]",FilmOne,Kayode Kasum
45,What About Us,2024,"₦111,462,141",Narrative Media,Kayode Kasum
46,My Village People,2021,"₦100,958,400[19]",Kountry Koulture Productions,Niyi Akinmolayan
47,Up North,2018,"₦94,006,142[20]",Anakle Films / Inkblot Production,Tope Oshin
48,Isoken,2017,"₦93,697,726[6]",Tribe 85,Jadesola Osiberu
49,Quam's Money,2020,"₦92,100,070[21]","Inkblot Productions, House 21 and FilmOne",Kayode Kasum
50,Ayinla,2021,"₦91,470,900[22]",GreoH Media,Tunde Kelani
51,Okafor's Law,2017,"₦89,740,576[6]",Dioni Visions,Omoni Oboli
52,Something About The Briggs,2025,"₦89,000,000",Filmone Studios,Bukola Ogunsola
53,Breaded Life,2021,"₦88,860,057[23]",Shutter Speed Projects,Biodun Stephen
54,Passport,2022,"₦86,342,925[24]",VSL MEDIA,Dimeji Ajibola
55,Fifty,2015,"₦80,030,500[25]",EbonyLife Films,Biyi Bandele
